시군구코드|새주소_시도명|시군구명|MAPPING
41720|경기도|남양주군|경기남양주시
41730|경기도|여주군|경기여주시
41740|경기도|평택군|경기평택시
41750|경기도|화성군|경기화성시
41760|경기도|시흥군|경기시흥시
41770|경기도|파주군|경기파주시
41790|경기도|광주군|경기광주시
41800|경기도|연천군|경기경원권
41810|경기도|포천군|경기포천시
41820|경기도|가평군|경기동부2권
41830|경기도|양평군|경기동부2권
41840|경기도|이천군|경기이천시
41850|경기도|용인군|경기용인시
41860|경기도|안성군|경기안성시
41870|경기도|김포군|경기김포시
41890|경기도|옹진군|인천
42000|강원도||강원
42110|강원도|춘천시|강원춘천시
42130|강원도|원주시|강원원주시
42150|강원도|강릉시|강원강릉시
42170|강원도|동해시|강원동해시
42190|강원도|태백시|강원태백시
42210|강원도|속초시|강원속초시
42230|강원도|삼척시|강원삼척시
42715|강원도|춘천군|강원춘천시
42720|강원도|홍천군|강원
42730|강원도|횡성군|강원
42745|강원도|원주군|강원원주시
42750|강원도|영월군|강원
42760|강원도|평창군|강원
42770|강원도|정선군|강원
42780|강원도|철원군|강원
42790|강원도|화천군|강원
42800|강원도|양구군|강원
42810|강원도|인제군|강원
42820|강원도|고성군|강원
42830|강원도|양양군|강원
43000|충청북도||충북
43110|충청북도|청주시|충북청주시
43111|충청북도|청주시 상당구|충북상당구
43112|충청북도|청주시 서원구|충북서원구
43113|충청북도|청주시 흥덕구|충북흥덕구
43114|충청북도|청주시 청원구|충북청원구
43130|충청북도|충주시|충북충주시
43150|충청북도|제천시|충북제천시
43710|충청북도|청원군|충북청원구
43720|충청북도|보은군|충북
43730|충청북도|옥천군|충북
43740|충청북도|영동군|충북
43745|충청북도|증평군|충북
43750|충청북도|진천군|충북
43760|충청북도|괴산군|충북
43770|충청북도|음성군|충북음성군
43800|충청북도|단양군|충북
44000|충청남도||충남
44111|충청남도|대전시 동구|대전동구
44113|충청남도|대전시 중구|대전중구
44115|충청남도|대전시 서구|대전서구
44130|충청남도|천안시|충남천안시
44131|충청남도|천안시 동남구|충남동남구
44133|충청남도|천안시 서북구|충남서북구
44150|충청남도|공주시|충남공주시
44180|충청남도|보령시|충남보령시
44200|충청남도|아산시|충남아산시
44210|충청남도|서산시|충남서산시
44230|충청남도|논산시|충남논산시
44250|충청남도|계룡시|충남계룡시
44270|충청남도|당진시|충남당진시
44710|충청남도|금산군|충남
44750|충청남도|논산군|충남논산시
44760|충청남도|부여군|충남
44770|충청남도|서천군|충남
44780|충청남도|보령군|충남보령시
44790|충청남도|청양군|충남
44800|충청남도|홍성군|충남홍성군
44810|충청남도|예산군|충남예산군
44825|충청남도|태안군|충남
44830|충청남도|당진군|충남당진시
44840|충청남도|아산군|충남아산시
44860|충청남도|천안군|충남천안시
45000|전라북도||전북
45110|전라북도|전주시|전북전주시
45111|전라북도|전주시 완산구|전북완산구
45113|전라북도|전주시 덕진구|전북덕진구
45130|전라북도|군산시|전북군산시
45140|전라북도|익산시|전북익산시
45180|전라북도|정읍시|전북정읍시
45190|전라북도|남원시|전북남원시
45210|전라북도|김제시|전북김제시
45710|전라북도|완주군|전북
45720|전라북도|진안군|전북
45730|전라북도|무주군|전북
45740|전라북도|장수군|전북
45750|전라북도|임실군|전북
45770|전라북도|순창군|전북
45780|전라북도|정읍군|전북정읍시
45790|전라북도|고창군|전북
45800|전라북도|부안군|전북
45830|전라북도|익산군|전북익산시
46000|전라남도||전남
46110|전라남도|목포시|전남목포시
46130|전라남도|여수시|전남여수시
46150|전라남도|순천시|전남순천시
46170|전라남도|나주시|전남나주시
46230|전라남도|광양시|전남광양시
46710|전라남도|담양군|전남
46720|전라남도|곡성군|전남
46730|전라남도|구례군|전남
46740|전라남도|광양군|전남광양시
46770|전라남도|고흥군|전남
46780|전라남도|보성군|전남
46790|전라남도|화순군|전남
46800|전라남도|장흥군|전남
46810|전라남도|강진군|전남
46820|전라남도|해남군|전남
46830|전라남도|영암군|전남
46840|전라남도|무안군|전남무안군
46860|전라남도|함평군|전남
46870|전라남도|영광군|전남
46880|전라남도|장성군|전남
46890|전라남도|완도군|전남
46900|전라남도|진도군|전남
46910|전라남도|신안군|전남
47000|경상북도||경북
47110|경상북도|포항시|경북포항시
47111|경상북도|포항시 남구|경북남구
47113|경상북도|포항시 북구|경북북구
47130|경상북도|경주시|경북경주시
47150|경상북도|김천시|경북김천시
47170|경상북도|안동시|경북안동시
47190|경상북도|구미시|경북구미시
47210|경상북도|영주시|경북영주시
47230|경상북도|영천시|경북영천시
47250|경상북도|상주시|경북상주시
47280|경상북도|문경시|경북문경시
47290|경상북도|경산시|경북경산시
47710|경상북도|달성군|대구달성군
47720|경상북도|군위군|경북
47730|경상북도|의성군|경북
47750|경상북도|청송군|경북
47760|경상북도|영양군|경북
47770|경상북도|영덕군|경북
47820|경상북도|청도군|경북
47830|경상북도|고령군|경북
47840|경상북도|성주군|경북
47850|경상북도|칠곡군|경북칠곡군
47890|경상북도|문경군|경북문경시
47900|경상북도|예천군|경북
47920|경상북도|봉화군|경북
47930|경상북도|울진군|경북
47940|경상북도|울릉군|경북
48000|경상남도||경남
48110|경상남도|창원시|경남창원시
48120|경상남도|창원시|경남창원시
48121|경상남도|창원시 의창구|경남의창구
48123|경상남도|창원시 성산구|경남성산구
48125|경상남도|창원시 마산합포구|경남마산합포구
48127|경상남도|창원시 마산회원구|경남마산회원구
48129|경상남도|창원시 진해구|경남진해구
48131|경상남도|울산시 중구|울산중구
48133|경상남도|울산시 남구|울산남구
48135|경상남도|울산시 동구|울산동구
48137|경상남도|울산시 울주구|울산울주군
48170|경상남도|진주시|경남진주시
48190|경상남도|진해시|경남진해구
48220|경상남도|통영시|경남통영시
48240|경상남도|사천시|경남사천시
48250|경상남도|김해시|경남김해시
48270|경상남도|밀양시|경남밀양시
48310|경상남도|거제시|경남거제시
48330|경상남도|양산시|경남양산시
48720|경상남도|의령군|경남
48730|경상남도|함안군|경남
48740|경상남도|창녕군|경남
48760|경상남도|양산군|경남양산시
48800|경상남도|통영군|경남통영시
48810|경상남도|거제군|경남거제시
48820|경상남도|고성군|경남
48830|경상남도|사천군|경남사천시
48840|경상남도|남해군|경남
48850|경상남도|하동군|경남
48860|경상남도|산청군|경남
48870|경상남도|함양군|경남
48880|경상남도|거창군|경남
48890|경상남도|합천군|경남
49110|제주도|제주시|제주제주시
49130|제주도|서귀포시|제주서귀포시
50000|제주특별자치도||제주
50110|제주특별자치도|제주시|제주제주시
50130|제주특별자치도|서귀포시|제주서귀포시
